id,autor,nacionalidad,epoca,tipo_autor,sentimiento,emocion_tag,frase_motivacional,cancion_recomendada,artista_cancion,genero_musical,año_cancion,por_que_combina
735,Erín Moure,Canadá,Siglo XX-XXI,Poeta / Traductora,Multilingüismo experimental canadiense,multilingüismo poético,Escribo en inglés francés español y gallego simultáneamente. El idioma único nunca pudo contener completamente lo que necesito decir.,Englishman in New York,Sting,Pop / Jazz,1987,Ambos exploran cómo múltiples idiomas pueden coexistir dentro de una sola identidad creativa sin necesidad de elegir solo uno.
736,Dennis Lee,Canadá,Siglo XX-XXI,Poeta,Identidad canadiense y lenguaje,identidad nacional canadiense,Buscar el idioma propio de Canadá significó admitir que todavía estamos inventando quiénes somos como nación completa.,This Land Is Your Land,Woody Guthrie,Folk,1940,Ambos exploran la construcción continua de la identidad nacional — un proceso siempre inacabado y en constante redefinición colectiva.
737,Robert Bringhurst,Canadá,Siglo XX-XXI,Poeta / Tipógrafo,Mitología haida y traducción,mitología indígena traducida,Traduje mitos haida al inglés con el mayor respeto posible — sabiendo que algo siempre se pierde en cualquier traducción cultural.,Mother Tongue,MIKA,Pop,2009,Ambos exploran la responsabilidad y la pérdida inherente al traducir entre culturas — honrando el original mientras se reconoce lo irrecuperable.
738,Daphne Marlatt,Canadá / Australia,Siglo XX-XXI,Poeta,Migración múltiple y género,migración de género,Nací en Australia crecí en Canadá y descubrí mi identidad queer en el camino. Cada migración también fue una migración interna.,Born This Way,Lady Gaga,Pop,2011,Ambos celebran cómo la migración geográfica y el descubrimiento de la propia identidad pueden ocurrir simultáneamente y entrelazadas.
739,George Bowering,Canadá,Siglo XX-XXI,Poeta laureado,Beisbol y poesía canadiense,beisbol poético,Escribí poemas sobre beisbol porque ese deporte tiene su propio ritmo lento y contemplativo que se parece mucho a escribir versos.,Centerfield,John Fogerty,Rock,1985,Ambos celebran el beisbol como algo más que deporte — un ritual con su propio ritmo poético y emocional particular.
740,Phyllis Webb,Canadá,Siglo XX,Poeta,Silencio y forma poética,silencio formal,Dejé de escribir durante años porque el silencio también es parte legítima del proceso creativo que no hay que forzar.,Sound of Silence,Disturbed (cover),Metal / Rock,2015,Ambos reconocen el valor del silencio y la pausa dentro del proceso creativo — no todo necesita ser llenado o forzado constantemente.
741,Robin Blaser,Canadá / Estados Unidos,Siglo XX,Poeta,Mito personal y comunidad poética,mito personal,Construí mi propia mitología personal porque las mitologías heredadas nunca terminaron de explicar completamente quién soy realmente.,Africa,Toto,Rock / Pop,1982,Ambos construyen y celebran mitologías personales o colectivas que dan sentido y misterio a experiencias que de otro modo serían ordinarias.
742,Daphne Odjig,Canadá (Odawa/Potawatomi),Siglo XX-XXI,Poeta / Pintora indígena,Arte visual y poesía indígena,arte indígena combinado,Pinté y escribí la misma historia de mi pueblo. El color y la palabra juntos cuentan más que cualquiera de los dos por separado.,Spirit,Beyoncé,R&B / Afropop,2019,Ambos combinan diferentes formas artísticas para honrar la espiritualidad y la herencia cultural de manera más completa y profunda.
743,Armand Garnet Ruffo,Canadá (Ojibwe),Siglo XX-XXI,Poeta indígena,Biografía indígena y memoria,memoria biográfica indígena,Escribí sobre artistas indígenas olvidados por la historia oficial porque sus vidas merecían ser recordadas con el respeto debido.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran la importancia de preservar y honrar memorias de figuras importantes que la historia dominante tiende a olvidar.
744,Rosanna Deerchild,Canadá (Cree),Siglo XXI,Poeta indígena,Madre superviviente de internado,trauma materno heredado,Mi madre sobrevivió la escuela residencial y ese trauma vive todavía en cómo me crió — heredé tanto su dolor como su fuerza.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran cómo el trauma y la fuerza de los padres se heredan simultáneamente en la relación con los hijos.
745,Joanne Arnott,Canadá (Métis),Siglo XX-XXI,Poeta indígena,Maternidad métis contemporánea,maternidad métis,Crío a mis hijos métis enseñándoles ambas mitades de su herencia — ninguna parte de quiénes son merece ser silenciada o escondida.,Same Love,Macklemore ft. Mary Lambert,Hip-hop / Pop,2012,Ambos celebran la crianza que honra identidades mixtas completas — enseñando a los hijos a estar orgullosos de cada parte de su herencia.
746,Wayde Compton,Canadá,Siglo XX-XXI,Poeta,Identidad negra en Columbia Británica,identidad negra canadiense,La historia negra de Canadá rara vez se cuenta — pero existió y existe — y mi poesía insiste en que sea finalmente reconocida.,This Is America,Childish Gambino,Hip-hop,2018,Ambos exigen reconocimiento de historias negras frecuentemente invisibilizadas — insistiendo en su importancia dentro de la narrativa nacional.
747,M. NourbeSe Philip,Trinidad / Canadá,Siglo XX-XXI,Poeta,Esclavitud y lenguaje fragmentado,lenguaje de la esclavitud,Fragmenté el lenguaje inglés en mi poesía porque ese idioma fragmentó primero a mis ancestros esclavizados sin ninguna piedad.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos confrontan la violencia histórica de la esclavitud a través de formas artísticas que rompen deliberadamente con la convención establecida.
748,Suzanne Buffam,Canadá / Estados Unidos,Siglo XXI,Poeta contemporánea,Insomnio y maternidad,insomnio materno,Las noches sin dormir cuidando a mi hija recién nacida también se convirtieron en mi laboratorio más fértil de escritura poética.,Tired,Adele,Pop / Soul,2008,Ambas exploran el agotamiento físico y emocional de la maternidad temprana — encontrando arte y conexión incluso en el cansancio extremo.
749,Soraya Peerbaye,Canadá,Siglo XXI,Poeta contemporánea,Violencia juvenil y justicia,justicia juvenil,Escribí sobre el asesinato de una adolescente porque la justicia también requiere que recordemos a las víctimas con todo su detalle humano.,Strange Fruit,Billie Holiday,Jazz,1939,Ambos dan testimonio poético de violencias específicas — insistiendo en preservar la humanidad completa de quienes la sufrieron.
750,Canisia Lubrin,Santa Lucía / Canadá,Siglo XXI,Poeta caribeño-canadiense,Diáspora caribeña en Canadá,diáspora caribeña fría,Crucé del calor caribeño al frío canadiense — y descubrí que mi poesía también necesitaba aprender un nuevo tipo de clima emocional.,Coming Home,Leon Bridges,Soul,2015,Ambos exploran la adaptación emocional y física que requiere la migración hacia climas y culturas completamente diferentes.
751,Judith Wright,Australia,Siglo XX,Poeta,Tierra australiana y conciencia,conciencia ecológica,La tierra australiana no nos pertenece — nosotros le debemos respeto a una tierra que existía mucho antes de nuestra llegada.,Mother Earth,Within Temptation,Symphonic metal,2000,Ambos veneran la tierra como entidad anterior y superior a la presencia humana — exigiendo respeto y cuidado profundo hacia ella.
752,Les Murray,Australia,Siglo XX-XXI,Poeta,Campo australiano y comunidad rural,comunidad rural australiana,Crecí en el campo de Nueva Gales del Sur donde la comunidad rural se cuidaba mutuamente sin necesidad de pedirlo explícitamente.,Lean On Me,Bill Withers,Soul / R&B,1972,Ambos celebran la solidaridad comunitaria rural — el apoyo mutuo como valor fundamental de comunidades pequeñas y conectadas.
753,Oodgeroo Noonuccal,Australia (Aborigen),Siglo XX,Poeta aborigen,Pueblo aborigen y colonización,resistencia aborigen,Soy de los primeros habitantes de esta tierra. Cuarenta mil años de historia no se borran con doscientos años de colonización.,Get Up Stand Up,Bob Marley,Reggae,1973,Ambos exigen reconocimiento y respeto para pueblos originarios cuya historia precede y trasciende la colonización que sufrieron.
754,Kevin Gilbert,Australia (Wiradjuri),Siglo XX,Poeta aborigen,Prisión y resistencia aborigen,resistencia carcelaria aborigen,Pasé años en prisión y desde ahí escribí sobre la injusticia que mi pueblo aborigen sufre todavía en su propia tierra ancestral.,Imprisoned,Bob Marley,Reggae,1980,Ambos transforman experiencias de encierro injusto en testimonios poderosos de resistencia y denuncia de sistemas opresivos.
755,Lionel Fogarty,Australia (Aborigen),Siglo XX-XXI,Poeta aborigen,Lenguaje aborigen y resistencia,lenguaje de resistencia,Rompo la gramática inglesa correcta porque ese inglés correcto fue la misma herramienta que usaron para intentar borrarnos.,Anarchy in the UK,Sex Pistols,Punk,1977,Ambos rompen deliberadamente con normas lingüísticas establecidas como forma de resistencia política y cultural contra el poder dominante.
756,Romaine Moreton,Australia (Aborigen),Siglo XX-XXI,Poeta aborigen,Mujer aborigen contemporánea,mujer aborigen,Soy mujer aborigen en la Australia de hoy — y mi sola existencia desafía narrativas que querían vernos solo en el pasado.,Run the World (Girls),Beyoncé,Pop,2011,Ambas reclaman presencia y poder en el presente — negándose a ser relegadas únicamente a narrativas históricas o pasadas.
757,Ali Cobby Eckermann,Australia (Aborigen),Siglo XX-XXI,Poeta aborigen,Generación robada,generación robada,Fui parte de la generación robada — separada de mi familia aborigen siendo niña. Escribir fue mi forma de reconstruir lo perdido.,The Living Years,Mike + The Mechanics,Soft rock,1988,Ambos exploran la pérdida y reconstrucción de conexiones familiares rotas por políticas e historias profundamente traumáticas.
758,Samuel Wagan Watson,Australia (Aborigen),Siglo XX-XXI,Poeta aborigen,Identidad urbana aborigen,identidad aborigen urbana,Soy aborigen viviendo en Brisbane — la ciudad y mi sangre ancestral conviven en mí sin que ninguna de las dos cosas sea menos real.,Colors of the Wind,Vanessa Williams,Pop / Soundtrack,1995,Ambos exploran conexiones ancestrales que persisten plenamente incluso en contextos urbanos modernos alejados de lo tradicional.
759,Tony Birch,Australia (Aborigen),Siglo XX-XXI,Poeta / Novelista aborigen,Pobreza urbana aborigen,pobreza urbana aborigen,Crecí pobre y aborigen en Melbourne. Esa doble experiencia formó cada palabra que después aprendí a poner en papel.,Ordinary People,John Legend,R&B / Soul,2004,Ambos dignifican experiencias de pobreza urbana marginada — encontrando humanidad y dignidad en circunstancias económicas difíciles.
760,Bruce Dawe,Australia,Siglo XX,Poeta,Guerra de Vietnam vista desde Australia,guerra vista desde lejos,Homecoming — los ataúdes llegan a Australia desde Vietnam en aviones que nadie quiere mirar directamente a los ojos.,Fortunate Son,Creedence Clearwater Revival,Rock,1969,Ambos cuestionan el costo humano de guerras lejanas sobre países que enviaron soldados a morir por causas ajenas y cuestionables.
761,Gwen Harwood,Australia,Siglo XX,Poeta,Música y feminidad australiana,música y feminidad,Compuse música y escribí poesía bajo seudónimos masculinos porque el mundo literario no tomaba en serio a las mujeres entonces.,Respect,Aretha Franklin,Soul / R&B,1967,Ambas exigen reconocimiento por su talento sin necesidad de esconder o disfrazar su identidad femenina para ser tomadas en serio.
762,David Malouf,Australia,Siglo XX-XXI,Poeta / Novelista,Mediterráneo y Australia,fusión mediterránea-australiana,Mi sangre libanesa y mi vida australiana se mezclan en cada paisaje que describo — ninguna identidad cancela a la otra.,Mi Gente,J Balvin,Reggaeton,2018,Ambos celebran identidades fusionadas de múltiples orígenes — riqueza cultural que combina herencias distintas sin jerarquías.
763,Dorothy Hewett,Australia,Siglo XX,Poeta,Comunismo y feminismo australiano,compromiso político femenino,Fui comunista y feminista en una Australia conservadora. Mis convicciones políticas y mi poesía nunca pudieron separarse del todo.,Run the World (Girls),Beyoncé,Pop,2011,Ambas combinan compromiso político firme con expresión artística — convicciones que se entrelazan inseparablemente con la creación.
764,John Tranter,Australia,Siglo XX-XXI,Poeta,Posmodernismo poético australiano,posmodernismo,Jugué con las formas tradicionales hasta romperlas — la poesía posmoderna también necesita su propio espacio de experimentación libre.,Subterranean Homesick Blues,Bob Dylan,Folk rock,1965,Ambos rompen con convenciones formales establecidas para explorar nuevas posibilidades expresivas dentro de su propio medio artístico.
765,Dorothy Porter,Australia,Siglo XX-XXI,Poeta,Novela en verso y deseo lésbico,deseo lésbico narrativo,Escribí una novela entera en verso sobre el deseo entre mujeres porque esa historia necesitaba la intensidad que solo la poesía da.,I Kissed a Girl,Katy Perry,Pop,2008,Ambas celebran el deseo y amor entre mujeres con total libertad e intensidad — sin disculpas ni necesidad de justificación.
766,Peter Skrzynecki,Polonia / Australia,Siglo XX-XXI,Poeta,Migración polaca-australiana,migración europea,Mi padre cruzó medio mundo desde Polonia hasta Australia. Cada surco en sus manos contaba una historia que yo apenas comprendía de niño.,Father and Son,Cat Stevens,Folk,1970,Ambos exploran la distancia generacional entre padres migrantes y sus hijos — historias de sacrificio que tardan años en comprenderse del todo.
767,Ouyang Yu,China / Australia,Siglo XX-XXI,Poeta,Diáspora china-australiana,diáspora china,Escribo en inglés y en chino simultáneamente porque ninguno de los dos idiomas logra capturar completo lo que realmente siento.,Englishman in New York,Sting,Pop / Jazz,1987,Ambos exploran la experiencia de vivir y crear entre dos idiomas y culturas distintas sin pertenecer completamente a ninguna de las dos.
768,Yu Ouyang,China / Australia,Siglo XXI,Poeta contemporáneo,Traducción y pertenencia,traducción de pertenencia,Cada vez que me traduzco a mí mismo entre idiomas también me pregunto a cuál de mis dos países pertenezco realmente más.,Mi Gente,J Balvin,Reggaeton,2018,Ambos celebran identidades que se mueven fluidamente entre culturas — pertenencia múltiple en lugar de elección única y excluyente.
